FILENAME,websites,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
528050.txt,https://www.musee-vix.fr,23,www.musee-vix.fr,16,0,fr,100,0.666666667,0.0141483,0.046768234,2,1,0,0,0,9,0.391,0,0,0,0,0,2,0.087,1,783,4462,1,musee-vix,100,100,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,38,32,26,96,1,28,1
384908.txt,https://www.drive-master.com,27,www.drive-master.com,20,0,com,100,0.583333333,0.5229071,0.064366192,3,1,0,0,0,13,0.481,0,0,0,0,0,2,0.074,1,648,9381,1,drive-master,100,100,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,16,4,10,94,0,96,1
226824.txt,https://www.davidkordanskygallery.com,36,www.davidkordanskygallery.com,29,0,com,100,1,0.5229071,0.051601386,3,1,0,0,0,23,0.639,0,0,0,0,0,1,0.028,1,344,1451,1,davidkordanskygallery,100,100,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,19,3,19,9,0,17,1
mw5jan1515.txt,https://www.quangtuantn.com,26,www.quangtuantn.com,19,0,com,66.77777778,1,0.5229071,0.054966624,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,121,133,1,quangtuantn,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485221.txt,https://www.bdpgabon.org,23,www.bdpgabon.org,16,0,org,100,1,0.0799628,0.053492768,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,1451,9104,1,bdpgabon,100,100,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,56,15,28,377,11,377,1
810777.txt,https://www.mainewriters.org,27,www.mainewriters.org,20,0,org,100,1,0.0799628,0.065478392,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,5948,21562,1,mainewriters,100,100,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,29,7,18,187,0,26,1
747247.txt,https://www.unilumin.com,23,www.unilumin.com,16,0,com,100,1,0.5229071,0.058523321,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,1600,610,1,unilumin,100,100,1,0,1,0,0,1,0,4,0,1,1,1,0,0,0,0,1,114,2,8,123,0,39,1
602316.txt,https://www.grapecat.com,23,www.grapecat.com,16,0,com,100,1,0.5229071,0.067098737,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,2821,3976,1,grapecat,100,100,0,0,1,0,0,1,0,20,0,1,1,1,1,1,1,0,1,36,64,22,215,0,22,1
605504.txt,https://www.twenty3.media,24,www.twenty3.media,17,0,media,100,1,0.00021,0.047953932,5,1,0,0,0,10,0.417,1,0.042,0,0,0,1,0.042,1,653,311,1,twenty3,100,100,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,46,8,19,23,1,4,1
403703.txt,https://www.devtopics.com,24,www.devtopics.com,17,0,com,100,1,0.5229071,0.061812976,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1570,8047,1,devtopics,100,100,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,12,8,37,257,0,272,1
236453.txt,https://www.motop.app,20,www.motop.app,13,0,app,100,1,0.001502,0.064712615,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,1552,8047,1,motop,100,100,0,1,1,0,0,0,0,2,0,1,1,1,0,0,0,0,1,53,49,38,115,1,123,1
50824.txt,https://www.smilingmind.com.au,29,www.smilingmind.com.au,22,0,au,100,0.8,0.0100856,0.060250418,2,2,0,0,0,15,0.517,0,0,0,0,0,2,0.069,1,2780,15903,1,smilingmindcom,0,0,1,0,1,0,0,1,0,5,0,1,1,1,0,0,1,0,1,29,3,28,91,0,44,1
7972122.txt,http://vawanghimpala.ga/,23,vawanghimpala.ga,16,0,ga,48.28911957,1,0.0002256,0.050676412,2,0,0,0,0,15,0.652,0,0,0,0,0,1,0.043,0,70,358,1,vawanghimpala,100,100,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2,0,0,1,0
755948.txt,https://www.goldfieldsairservices.com,36,www.goldfieldsairservices.com,29,0,com,100,1,0.5229071,0.060061969,3,1,0,0,0,23,0.639,0,0,0,0,0,1,0.028,1,1530,15094,1,goldfieldsairservices,100,100,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,16,2,13,62,0,12,1
8055971.txt,https://27f3673d-63d6-4ec9-b8af-f581abef0009.id.repl.co/,56,27f3673d-63d6-4ec9-b8af-f581abef0009.id.repl.co,47,0,co,32.77301125,0.204545455,0.0059772,0.02721931,2,2,0,0,0,21,0.375,19,0.339,0,0,0,8,0.143,1,198,869,1,27f3673d-63d6-4ec9-b8af-f581abef0009idrepl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15780.txt,https://www.gameinformer.com,27,www.gameinformer.com,20,0,com,100,1,0.5229071,0.06783573,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,5558,36376,1,gameinformer,100,100,1,0,1,0,0,1,0,19,0,1,1,1,0,0,1,1,1,111,74,17,315,0,25,1
785475.txt,https://www.ginbox.io,20,www.ginbox.io,13,0,io,100,1,0.0129268,0.048747817,2,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,2429,277,1,gnbox,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,40,16,26,102,3,55,1
mw77725.txt,http://www.straforkutu.online,28,www.straforkutu.online,22,0,online,58.5928489,1,0.0008457,0.055748956,6,1,0,0,0,16,0.571,0,0,0,0,0,1,0.036,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753489.txt,https://www.ruralliving.co.nz,28,www.ruralliving.co.nz,21,0,nz,100,0.857142857,0.0019933,0.05567305,2,2,0,0,0,14,0.5,0,0,0,0,0,2,0.071,1,1292,1864,1,rurallivigco,0,0,1,1,1,0,0,1,0,3,0,1,1,1,0,0,0,0,1,8,3,11,35,5,48,1
59904.txt,https://www.evangelisch.de,25,www.evangelisch.de,18,0,de,100,1,0.0326503,0.053827364,2,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,892,7007,1,evangelisch,100,100,1,0,1,0,0,1,0,7,0,1,1,1,0,1,0,0,1,35,11,12,263,1,102,1
398584.txt,https://www.brunton.com,22,www.brunton.com,15,0,com,100,1,0.5229071,0.062729502,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,2222,2672,1,brunton,100,100,0,0,1,0,0,1,0,19,0,1,1,1,1,1,1,0,1,39,53,20,136,0,26,1
836481.txt,https://www.bestofkenya.com,26,www.bestofkenya.com,19,0,com,100,1,0.5229071,0.059503775,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,200,335,1,bestofkenya,100,100,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1
423606.txt,https://www.visitnewportbeach.com,32,www.visitnewportbeach.com,25,0,com,100,1,0.5229071,0.058756996,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,1428,9381,1,visitnewportbeach,100,100,1,1,1,0,0,1,0,4,0,1,0,0,0,1,0,0,1,61,8,23,127,31,107,1
684552.txt,https://www.chuckdixon.net,25,www.chuckdixon.net,18,0,net,100,1,0.0384199,0.0517915,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,2124,8632,1,chuckdixon,100,100,1,0,0,0,0,0,5,1,0,1,0,0,0,1,0,0,0,40,3,3,32,0,87,1
81924.txt,https://www.schatz.senate.gov,28,www.schatz.senate.gov,21,0,gov,100,0.538461538,0.0033282,0.060946661,3,2,0,0,0,14,0.5,0,0,0,0,0,2,0.071,1,2379,250,1,schatzsenate,0,0,1,0,1,1,0,1,0,5,0,1,1,1,0,0,0,0,0,9,3,18,71,3,74,1
mw18304.txt,http://www.gg4288.com,20,www.gg4288.com,14,0,com,68.36363636,1,0.5229071,0.029544601,3,1,0,0,0,4,0.2,4,0.2,0,0,0,1,0.05,0,3,78,1,gg4288,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
